#Optimal shifts are: 0.42138 1.02807
#Optimal energy: -478.48635
#Optimal expansion: 0.22569
#    x_shift     y_shift      completion   expansion         E_optimised     equivalence
      0.1875       0.125         Success     0.57306       -477.06355444     Not checked
      0.1875      0.1875         Success     0.61536        -475.6548877     Not checked
      0.1875        0.25         Success     0.38584       -476.07212164     Not checked
      0.1875      0.3125         Success     0.23746       -477.79923136     Not checked
      0.1875       0.375         Success     0.33658       -477.72581304     Not checked
      0.1875      0.4375         Success     0.53311       -477.11620907     Not checked
      0.1875         0.5         Success     0.57576       -476.10957947     Not checked
      0.1875      0.5625         Success     0.52142       -475.28279723     Not checked
      0.1875       0.625         Success     0.24123       -477.31887795     Not checked
      0.1875      0.6875         Success     0.22698       -478.20845505     Not checked
      0.1875        0.75         Success        0.43       -476.50733839     Not checked
      0.1875      0.8125         Success      0.5699       -476.49110335     Not checked
      0.1875       0.875         Success     0.57817       -475.73604832     Not checked
      0.1875      0.9375         Success     0.29225       -476.69421913     Not checked
      0.1875         1.0         Success     0.22369       -478.15055055     Not checked

        0.25         0.0         Success     0.31338       -477.74857054     Not checked
        0.25      0.0625         Success     0.37571       -477.42790463     Not checked
        0.25       0.125         Success     0.53591       -476.50534617     Not checked
        0.25      0.1875         Success     0.61718       -475.99762893     Not checked
        0.25        0.25         Success     0.33837       -476.01133317     Not checked
        0.25      0.3125         Success     0.23616       -478.07421176     Not checked
        0.25       0.375         Success     0.23716       -477.93614062     Not checked
        0.25      0.4375         Success     0.47521         -476.982376     Not checked
        0.25         0.5         Success     0.65063       -475.65515307     Not checked
        0.25      0.5625         Success     0.52135       -475.28900364     Not checked
        0.25       0.625         Success     0.25844       -477.55976987     Not checked
        0.25      0.6875         Success     0.29359       -477.82289364     Not checked
        0.25        0.75         Success     0.42043       -477.10026798     Not checked
        0.25      0.8125         Success      0.5434        -476.0537353     Not checked
        0.25       0.875         Success     0.57564       -475.64052123     Not checked
        0.25      0.9375         Success     0.26603       -476.88013498     Not checked
        0.25         1.0         Success     0.29674        -477.7969844     Not checked

      0.3125         0.0         Success     0.21615       -478.13295248     Not checked
      0.3125      0.0625         Success     0.30644       -477.51384084     Not checked
      0.3125       0.125         Success     0.57061       -476.64315922     Not checked
      0.3125      0.1875         Success      0.5877       -475.68627772     Not checked
      0.3125        0.25         Success     0.29721       -475.85807064     Not checked
      0.3125      0.3125         Success     0.23052       -478.02150106     Not checked
      0.3125       0.375         Success     0.24279       -477.78673741     Not checked
      0.3125      0.4375         Success     0.47972       -477.00149017     Not checked
      0.3125         0.5         Success     0.57071       -476.07094401     Not checked
      0.3125      0.5625         Success     0.49153       -474.97608358     Not checked
      0.3125       0.625         Success     0.24251       -477.63533182     Not checked
      0.3125      0.6875         Success     0.23685       -478.03002325     Not checked
      0.3125        0.75         Success     0.37997       -477.09920111     Not checked
      0.3125      0.8125         Success     0.54955       -476.55920005     Not checked
      0.3125       0.875         Success      0.6396       -474.76637838     Not checked
      0.3125      0.9375         Success     0.27148       -476.87955705     Not checked
      0.3125         1.0         Success     0.22684       -478.17989202     Not checked

       0.375         0.0         Success     0.22084       -478.27814871     Not checked
       0.375      0.0625         Success     0.35888       -477.43053818     Not checked
       0.375       0.125         Success     0.63395       -476.66457649     Not checked
       0.375      0.1875         Success     0.61911       -475.69131744     Not checked
       0.375        0.25         Success     0.39425       -476.12041761     Not checked
       0.375      0.3125         Success     0.22442       -477.93506263     Not checked
       0.375       0.375         Success     0.24103       -477.65400668     Not checked
       0.375      0.4375         Success       0.564       -477.09720905     Not checked
       0.375         0.5         Success     0.60065       -475.95096927     Not checked
       0.375      0.5625         Success     0.46555       -475.38715364     Not checked
       0.375       0.625         Success     0.24044       -477.52315879     Not checked
       0.375      0.6875         Success     0.28883       -478.05978299     Not checked
       0.375        0.75         Success     0.42845       -477.03841502     Not checked
       0.375      0.8125         Success     0.50832       -476.39860082     Not checked
       0.375       0.875         Success     0.64779       -475.70906833     Not checked
       0.375      0.9375         Success     0.30233       -476.67572368     Not checked
       0.375         1.0         Success     0.23783       -478.22784562     Not checked

      0.4375         0.0         Success     0.20305       -478.31110378     Not checked
      0.4375      0.0625         Success     0.33642       -477.45333769     Not checked
      0.4375       0.125         Success     0.50225       -476.23860387     Not checked
      0.4375      0.1875         Success     0.62384       -475.69446365     Not checked
      0.4375        0.25         Success     0.29678       -475.80047607     Not checked
      0.4375      0.3125         Success     0.23304       -478.16034298     Not checked
      0.4375       0.375         Success     0.23923       -477.81611365     Not checked
      0.4375      0.4375         Success     0.42463       -476.67795822     Not checked
      0.4375         0.5         Success     0.59666       -475.68093093     Not checked
      0.4375      0.5625         Success     0.49989       -475.14721907     Not checked
      0.4375       0.625         Success     0.25712        -477.4996877     Not checked
      0.4375      0.6875         Success     0.17902       -478.11715408     Not checked
      0.4375        0.75         Success     0.37001       -477.11319952     Not checked
      0.4375      0.8125         Success      0.5346       -475.72171476     Not checked
      0.4375       0.875         Success     0.59037       -475.46837953     Not checked
      0.4375      0.9375         Success     0.26907       -476.85800036     Not checked
      0.4375         1.0         Success     0.23154       -478.39339944     Not checked

         0.5         0.0         Success     0.22897        -477.9097946     Not checked
         0.5      0.0625         Success     0.29282       -477.54156894     Not checked
         0.5       0.125         Success     0.59313       -476.36620363     Not checked
         0.5      0.1875         Success     0.63062       -475.74177467     Not checked
         0.5        0.25         Success      0.3686       -475.97623952     Not checked
         0.5      0.3125         Success     0.23192       -477.85061803     Not checked
         0.5       0.375         Success      0.2479       -477.92899905     Not checked
         0.5      0.4375         Success     0.50862       -476.54331842     Not checked
         0.5         0.5         Success     0.55232       -476.34049606     Not checked
         0.5      0.5625         Success     0.46264        -475.1028072     Not checked
         0.5       0.625         Success     0.23359       -477.41940202     Not checked
         0.5      0.6875         Success     0.23331       -478.03729658     Not checked
         0.5        0.75         Success     0.42116       -477.08399069     Not checked
         0.5      0.8125         Success     0.59828        -476.4126517     Not checked
         0.5       0.875         Success      0.6235       -474.61717878     Not checked
         0.5      0.9375         Success     0.26522       -476.65301625     Not checked
         0.5         1.0         Success     0.21912       -477.87518168     Not checked

      0.5625         0.0         Success     0.29268       -478.08815147     Not checked
      0.5625      0.0625         Success     0.29361       -477.05652381     Not checked
      0.5625       0.125         Success     0.55023        -476.5717291     Not checked
      0.5625      0.1875         Success     0.61818       -476.00425497     Not checked
      0.5625        0.25         Success     0.39731       -476.06934229     Not checked
      0.5625      0.3125         Success     0.21668       -478.05294295     Not checked
      0.5625       0.375         Success     0.25104       -477.43555376     Not checked
      0.5625      0.4375         Success     0.46986       -476.80525225     Not checked
      0.5625         0.5         Success     0.61124         -475.740634     Not checked
      0.5625      0.5625         Success     0.53137       -475.38553202     Not checked
      0.5625       0.625         Success     0.23601       -477.60725335     Not checked
      0.5625      0.6875         Success     0.32156       -478.06882899     Not checked
      0.5625        0.75         Success     0.43688       -476.82979093     Not checked
      0.5625      0.8125         Success     0.55182       -476.50864629     Not checked
      0.5625       0.875         Success     0.70593       -475.42092707     Not checked
      0.5625      0.9375         Success     0.24185       -476.86366218     Not checked
      0.5625         1.0         Success     0.29124       -478.08396145     Not checked

       0.625         0.0         Success     0.26792       -477.94524654     Not checked
       0.625      0.0625         Success     0.28834        -477.3979822     Not checked
       0.625       0.125         Success      0.5103       -476.47587482     Not checked
       0.625      0.1875         Success     0.61135       -475.53638172     Not checked
       0.625        0.25         Success     0.28383       -475.71522559     Not checked
       0.625      0.3125         Success     0.28455       -477.78782071     Not checked
       0.625       0.375         Success     0.26921        -477.8248083     Not checked
       0.625      0.4375         Success     0.39678       -476.47173059     Not checked
       0.625         0.5         Success     0.54577        -475.7638677     Not checked
       0.625      0.5625         Success     0.49163       -475.01384914     Not checked
       0.625       0.625         Success     0.24573       -477.68038059     Not checked
       0.625      0.6875         Success     0.28575       -477.91569543     Not checked
       0.625        0.75         Success     0.37876       -477.00050334     Not checked
       0.625      0.8125         Success     0.52733       -476.29872716     Not checked
       0.625       0.875         Success     0.60741       -474.96466979     Not checked
       0.625      0.9375         Success      0.2682       -476.86222838     Not checked
       0.625         1.0         Success     0.22588       -478.28522676     Not checked

      0.6875         0.0         Success     0.21755       -478.07311436     Not checked
      0.6875      0.0625         Success     0.28586       -477.01498956     Not checked
      0.6875       0.125         Success     0.55478       -477.04553162     Not checked
      0.6875      0.1875         Success     0.59834       -475.65027214     Not checked
      0.6875        0.25         Success     0.37923        -476.0949876     Not checked
      0.6875      0.3125         Success     0.23108       -477.84590301     Not checked
      0.6875       0.375         Success     0.26766       -477.76294183     Not checked
      0.6875      0.4375         Success     0.54758       -476.76843329     Not checked
      0.6875         0.5         Success       0.613       -475.77894442     Not checked
      0.6875      0.5625         Success     0.59288       -475.28900933     Not checked
      0.6875       0.625         Success      0.2433       -477.25555414     Not checked
      0.6875      0.6875         Success     0.22938       -478.16908788     Not checked
      0.6875        0.75         Success     0.40478       -476.99324737     Not checked
      0.6875      0.8125         Success     0.55672       -476.34940027     Not checked
      0.6875       0.875         Success     0.58557       -475.58566591     Not checked
      0.6875      0.9375         Success     0.29078       -476.68422502     Not checked
      0.6875         1.0         Success     0.22455       -478.15078974     Not checked

        0.75         0.0         Success     0.23455       -478.36481518     Not checked
        0.75      0.0625         Success     0.23283       -477.37621572     Not checked
        0.75       0.125         Success     0.51062       -476.33996028     Not checked
        0.75      0.1875         Success     0.68507       -475.52641684     Not checked
        0.75        0.25         Success     0.36075       -475.97448734     Not checked
        0.75      0.3125         Success     0.29897       -477.86068423     Not checked
        0.75       0.375         Success     0.26337       -477.39029667     Not checked
        0.75      0.4375         Success     0.48201       -476.68975102     Not checked
        0.75         0.5         Success     0.57654       -475.46475202     Not checked
        0.75      0.5625         Success     0.48244       -475.27696562     Not checked
        0.75       0.625         Success     0.23819       -477.66368538     Not checked
        0.75      0.6875         Success     0.27686       -477.85308481     Not checked
        0.75        0.75         Success     0.37636       -477.09176705     Not checked
        0.75      0.8125         Success     0.52563       -476.07942608     Not checked
        0.75       0.875         Success     0.66024       -475.60551112     Not checked
        0.75      0.9375         Success     0.26977       -476.88183563     Not checked
        0.75         1.0         Success     0.24156       -477.70702875     Not checked

      0.8125         0.0         Success     0.26974       -477.83315642     Not checked
      0.8125      0.0625         Success     0.30377       -477.43417175     Not checked
      0.8125       0.125         Success     0.52353       -476.86347737     Not checked
      0.8125      0.1875         Success     0.62488       -475.72062448     Not checked
      0.8125        0.25         Success     0.31167       -475.88664616     Not checked
      0.8125      0.3125         Success     0.23082       -478.02245493     Not checked
      0.8125       0.375         Success     0.27911       -477.81752699     Not checked
      0.8125      0.4375         Success     0.46229        -476.6214146     Not checked
      0.8125         0.5         Success     0.60092        -476.0178145     Not checked
      0.8125      0.5625         Success     0.49703       -474.92154026     Not checked
      0.8125       0.625         Success     0.24207       -477.64161311     Not checked
      0.8125      0.6875         Success     0.23627       -478.02160121     Not checked
      0.8125        0.75         Success     0.39063       -477.08129337     Not checked
      0.8125      0.8125         Success     0.57827       -476.36629475     Not checked
      0.8125       0.875         Success     0.60757        -474.8711148     Not checked
      0.8125      0.9375         Success     0.26633       -476.88927383     Not checked
      0.8125         1.0         Success     0.22995       -478.10037612     Not checked

       0.875         0.0         Success     0.22636       -478.28736847     Not checked
       0.875      0.0625         Success     0.22913       -477.50606848     Not checked
       0.875       0.125         Success     0.54568       -476.36786103     Not checked
       0.875      0.1875         Success     0.59601       -475.89123876     Not checked
       0.875        0.25         Success     0.39425       -476.12041761     Not checked
       0.875      0.3125         Success     0.22943       -478.02351477     Not checked
       0.875       0.375         Success     0.30767       -477.60300313     Not checked
       0.875      0.4375         Success     0.54363       -476.85387877     Not checked
       0.875         0.5         Success     0.60248       -476.02361172     Not checked
       0.875      0.5625         Success     0.52036       -475.38398994     Not checked
       0.875       0.625         Success     0.24177       -477.50451699     Not checked
       0.875      0.6875         Success     0.22705       -478.31716024     Not checked
       0.875        0.75         Success     0.38833       -476.66239469     Not checked
       0.875      0.8125         Success     0.58684       -476.16770834     Not checked
       0.875       0.875         Success     0.65135         -475.699955     Not checked
       0.875      0.9375         Success     0.28636       -476.69859713     Not checked
       0.875         1.0         Success     0.22823       -478.29002871     Not checked

      0.9375         0.0         Success      0.2864       -478.07431903     Not checked
      0.9375      0.0625         Success     0.33779       -477.43922629     Not checked
      0.9375       0.125         Success     0.49259       -476.26795054     Not checked
      0.9375      0.1875         Success     0.57612       -475.89158013     Not checked
      0.9375        0.25         Success      0.3074       -475.86945924     Not checked
      0.9375      0.3125         Success     0.23803       -477.79313912     Not checked
      0.9375       0.375         Success      0.2472       -477.78885172     Not checked
      0.9375      0.4375         Success     0.45031       -476.54112271     Not checked
      0.9375         0.5         Success     0.59771       -475.79262624     Not checked
      0.9375      0.5625         Success     0.53192        -475.1545434     Not checked
      0.9375       0.625         Success     0.25508       -477.42504194     Not checked
      0.9375      0.6875         Success     0.32888       -478.00277295     Not checked
      0.9375        0.75         Success     0.38908       -476.96625321     Not checked
      0.9375      0.8125         Success     0.53956       -475.83349619     Not checked
      0.9375       0.875         Success     0.54557       -475.70249835     Not checked
      0.9375      0.9375         Success      0.2726       -476.86694828     Not checked
      0.9375         1.0         Success     0.19575        -478.2741667     Not checked

         1.0         0.0         Success      0.2217       -477.89571309     Not checked
         1.0      0.0625         Success     0.29987       -477.53913029     Not checked
         1.0       0.125         Success     0.57718       -476.96311884     Not checked
         1.0      0.1875         Success     0.62481       -475.77432439     Not checked
         1.0        0.25         Success      0.3712       -475.96896262     Not checked
         1.0      0.3125         Success     0.22961       -477.82423003     Not checked
         1.0       0.375         Success     0.24519        -477.8677031     Not checked
         1.0      0.4375         Success     0.53023       -476.90529615     Not checked
         1.0         0.5         Success     0.58169       -476.25804257     Not checked
         1.0      0.5625         Success     0.51284        -475.1521885     Not checked
         1.0       0.625         Success     0.24505       -477.49706816     Not checked
         1.0      0.6875         Success     0.22722       -478.00714492     Not checked
         1.0        0.75         Success     0.39128       -476.83492509     Not checked
         1.0      0.8125         Success     0.56191       -476.88756648     Not checked
         1.0       0.875         Success     0.57528       -475.16922149     Not checked
         1.0      0.9375         Success     0.25215       -476.74068457     Not checked
         1.0         1.0         Success     0.22825       -477.91946148     Not checked

